size;Cb;Cta;Ctb
1000;0.13891;0.37925;0.2788;
2000;0.29256;0.74329;0.55509;
3000;0.44592;1.15625;0.88279;
4000;0.6114;1.57219;1.15473;
5000;0.77639;1.98301;1.47669;
6000;0.9464;2.44267;1.82753;
7000;1.11639;2.8308;2.15121;
8000;1.30376;3.37332;2.47414;
9000;1.48076;3.78039;2.81843;
10000;1.65623;4.26687;3.16239;
11000;1.83979;4.73767;3.50151;
12000;2.01549;5.21206;3.84425;
13000;2.20159;5.64603;4.1881;
14000;2.38502;6.14592;4.54504;
15000;2.56548;6.61897;4.88814;
16000;2.7681;7.13065;5.13627;
17000;2.96569;7.59664;5.5147;
18000;3.13275;8.09417;5.91833;
19000;3.29472;8.65771;6.25891;
20000;3.5275;9.09729;6.6292;
21000;3.75215;9.60845;6.94116;
22000;3.89966;10.1159;7.34265;
23000;4.1173;10.6824;7.70025;
24000;4.26605;11.3699;8.06876;
25000;4.50632;11.8301;8.3999;
26000;4.65269;12.2516;8.79778;
27000;4.87393;12.7445;9.2076;
28000;5.12844;13.3446;9.48496;
29000;5.23915;13.8591;9.80183;
30000;5.44714;14.4141;10.1395;
