size;Sa;Sb;Sta;Stb
1000;0.55123;0.15046;0.26635;0.24038;
2000;1.93334;0.3008;0.56521;0.52725;
3000;4.32661;0.45896;0.88249;0.79337;
4000;7.26359;0.62271;1.19497;1.08124;
5000;11.1921;0.79373;1.55124;1.37765;
6000;16.0272;0.94965;1.8868;1.68813;
7000;21.7208;1.10694;2.23506;1.98696;
8000;28.2153;1.28424;2.5932;2.30848;
9000;35.6638;1.45093;2.94663;2.60926;
10000;43.9699;1.62117;3.36841;2.94348;
11000;53.0966;1.80232;3.74294;3.27341;
12000;63.0562;1.96181;4.06405;3.58238;
13000;73.9261;2.13413;4.46197;3.93737;
14000;85.3975;2.31187;4.87449;4.30557;
15000;98.4129;2.48144;5.24635;4.64378;
16000;111.64;2.67157;5.64818;4.93528;
17000;126.08;2.85119;5.98158;5.31803;
18000;140.941;3.01692;6.3846;5.62368;
19000;157.293;3.17562;6.88279;5.98004;
20000;174.054;3.38574;7.25919;6.31347;
21000;191.692;3.54529;7.60775;6.63681;
22000;210.492;3.72046;8.12307;7.02266;
23000;229.869;3.89573;8.53868;7.40813;
24000;250.228;4.08631;8.96656;7.78576;
25000;271.404;4.26226;9.55854;8.09643;
26000;293.414;4.44815;9.84253;8.44739;
27000;316.53;4.63707;10.377;8.85218;
28000;340.169;4.80363;10.8117;9.25153;
29000;364.454;5.0041;11.2041;9.58451;
30000;390.381;5.19618;11.7241;9.98768;
